title,concept,contents,situations,emotions,tags
카페 루나솔,"낮/밤 선택 가능한 콘셉트 카페","낮: 고요한 햇살 아래 집사 서비스 제공 / 밤: 비밀스럽고 특별한 이야기 분위기. 낮과 밤의 매력이 공존.","",설렘|안온함|몽환,"카페,낮모드,밤모드,집사,대화,힐링,분위기"
Z 엔터테인먼트,"아이돌 연습실·녹음실·대형 연습실","스타 일상 체험, 무대 준비, Z Entertainment 태그 사용 시 배너 노출.","역할놀이;춤추고 싶어;너무 신나",들뜸|열정|자신감,"아이돌,연습실,녹음실,무대,댄스,퍼포먼스,배너"
YTS House,"대형 스크린 라운지","따뜻한 조명·푹신한 소파, 친구들과 영상 감상, 혼자 시간 보내기에도 적합.","",편안함|포근함|잔잔함,"라운지,스크린,영상,소파,조명,힐링,모여보기"
캠핑,"야외 캠핑·별·오로라","캠프파이어 대화, 별똥별 소원, 호숫가 낚시 요리, 숲속 산책로와 오로라 감상.","",낭만|평온|모험,"캠프파이어,낚시,별똥별,오로라,산책,야외,힐링"
교실,"학교 놀이 공간","과학실 실험 시범, 복도 자판기 음료, 급식실, CU 편의점 간식, 포탈로 옥상 이동.","",추억|활기|설렘,"학교,교실,과학실,자판기,급식실,편의점,옥상,포탈"
한강공원,"CU 리뉴얼 체험·미니 퀘스트","리뉴얼된 CU 매장 방문, 신상품 체험, 루프탑 카페 휴식, 미니 퀘스트 보상 아이템.","",기대|보상만족|호기심,"한강,CU,리뉴얼,신상품,루프탑,퀘스트,보상,카페"
펜트하우스,"럭셔리 라운지·야경","편안한 소파 담소, 로맨틱 데이트, 다양한 음료·간식으로 휴식, 특별한 밤 분위기.","",로맨틱|호화로움|설렘,"펜트하우스,야경,라운지,데이트,음료,간식,휴식"
비밀의 숲, 익명대화,"익명 고민 나눔 공간","고민이 있어;슬퍼;우울해;이야기 하고싶어",위로|안전감|진정,"익명,1:1대화,고민,비밀,팔로워,젬,공감,상담"
오션크루즈,"워터파크·푸드트럭","대형 워터슬라이드(빨강/노랑/초록), 유스풀 튜브 수영, 물총싸움, 간식(에그슬럿/츄러스/무알콜 칵테일), 수영복 패션.","바다 가고 싶어;놀러가고싶어;여행가고싶어",짜릿함|상쾌함|즐거움,"수영장,워터슬라이드,유스풀,튜브,물총싸움,푸드트럭,에그슬럿,바캉스"
미드나잇 런웨이,"패션 런웨이(아디다스×ITZY)","마네킹에서 미드나잇 콜렉션 착용, 조명 아래 워킹, 무대 중앙 포즈, 2021.11.11 업데이트.","내 옷을 자랑하고 싶어;멋쟁이들이랑 놀래",자신감|반짝임|흥분,"런웨이,아디다스,ITZY,패션쇼,포즈,스테이지,워킹,콜라보"
학교 옥상,"옥상 교류·포토","계단에서 댄스타임, 거울 셀카, 도시락 나눠 먹기, 포탈로 교실 이동, 2022.03.11 오픈.","친구들이랑 놀래",유대감|활기|가벼운설렘,"옥상,댄스,셀카,도시락,포토,포탈,학교"
벚꽃정원,"사계절 벚꽃·온천·포토","벚꽃 나무·연못·빨간 다리 포토, 온천욕, 양산 선택(함정 포함), 전통의상 착용 촬영.","",아련함|설렘|힐링,"벚꽃,온천,연못,빨간다리,양산,전통의상,포토스팟"
동물탐험대,"동물 구조 모험·성장","구간 클리어로 구조, 베이스캠프 집결, 탐험 코인으로 능력치 강화, 기록 챌린지.","재밌는거 없을까;심심해",도전|몰입|성취,"탐험,동물,구조,코인,능력치,챌린지,기록,모험"
가든웨딩,"야외 결혼식 체험","레드카펫 워킹, 친구 초대(연주/박수/식사), 부케·소품(폭죽/풍선/반지), 의상 코디(턱시도/드레스).","",행복|설렘|축복,"웨딩,레드카펫,부케,폭죽,풍선,대왕반지,연주,하객,드레스,턱시도,단체샷"
공항,"대합실·탑승·기내 체험","수하물 부치기, 유리창 포토, 기념품샵, 출국샷, 비행기 포탈로 파티장 이동, 기내식·음료.","파티가고 싶어;여행가고 싶어;답답해",여행설렘|해방감|기대,"공항,대합실,포탈,출국샷,기내식,음료,파티,비행기,포토"
감옥탈출,"스릴 추격·변장 플레이","비밀 통로 2개와 연결 장소, 아이템(돈다발/수갑 등)으로 탈출 또는 체포, 죄수/경찰 역할·의상.","짜릿한 걸 하고 싶어;심심해;뛰어놀고싶어",긴장|스릴|쾌감,"감옥,탈출,경찰,죄수,비밀통로,변장,아이템,술래잡기,추격"
